iter	Passed	Remaining
0	48	48213
1	49	24593
2	50	16646
3	50	12692
4	51	10330
5	52	8735
6	53	7610
7	54	6750
8	55	6082
9	56	5560
10	56	5122
11	57	4756
12	58	4445
13	59	4182
14	60	3952
15	61	3755
16	62	3591
17	63	3451
18	64	3322
19	65	3193
20	66	3089
21	67	2993
22	68	2907
23	69	2817
24	70	2735
25	71	2682
26	72	2613
27	73	2542
28	73	2473
29	74	2410
30	75	2350
31	75	2293
32	76	2238
33	77	2188
34	77	2139
35	78	2094
36	78	2051
37	79	2012
38	80	1974
39	80	1930
40	81	1895
41	81	1862
42	82	1830
43	82	1802
44	83	1775
45	84	1749
46	84	1717
47	85	1691
48	85	1665
49	86	1641
50	86	1618
51	87	1595
52	88	1573
53	88	1553
54	89	1532
55	89	1513
56	90	1494
57	90	1476
58	91	1458
59	91	1441
60	92	1424
61	93	1408
62	93	1392
63	94	1377
64	94	1362
65	95	1348
66	95	1334
67	96	1320
68	96	1308
69	97	1295
70	98	1283
71	98	1271
72	99	1260
73	99	1249
74	100	1237
75	100	1227
76	101	1216
77	102	1206
78	102	1196
79	103	1187
80	103	1177
81	104	1168
82	104	1158
83	105	1149
84	106	1141
85	106	1132
86	107	1123
87	107	1115
88	108	1107
89	108	1099
90	109	1091
91	109	1084
92	110	1077
93	111	1077
94	112	1071
95	113	1064
96	113	1057
97	114	1051
98	114	1044
99	115	1039
100	116	1033
101	116	1027
102	117	1020
103	117	1015
104	118	1009
105	118	1003
106	119	997
107	120	994
108	122	1000
109	123	1003
110	124	1000
111	125	996
112	127	1001
113	128	998
114	129	993
115	129	989
116	130	983
117	131	980
118	131	975
119	132	970
120	132	965
121	133	960
122	133	955
123	134	950
124	135	945
125	135	940
126	136	935
127	136	931
128	137	927
129	137	923
130	138	918
131	139	914
132	139	910
133	140	905
134	140	901
135	141	897
136	141	893
137	142	889
138	142	885
139	143	881
140	143	875
141	144	871
142	144	867
143	145	864
144	145	860
145	146	857
146	147	854
147	147	850
148	148	846
149	148	843
150	149	840
151	149	836
152	150	833
153	151	830
154	151	826
155	152	823
156	152	820
157	153	817
158	153	814
159	154	810
160	155	807
161	155	804
162	156	801
163	156	798
164	157	795
165	157	792
166	158	789
167	158	786
168	159	784
169	160	781
170	160	778
171	161	776
172	161	773
173	162	770
174	162	768
175	163	765
176	164	762
177	164	760
178	165	758
179	165	755
180	166	753
181	166	750
182	167	748
183	168	745
184	168	743
185	169	740
186	169	738
187	170	735
188	170	733
189	171	729
190	171	727
191	172	724
192	172	722
193	173	720
194	173	718
195	174	715
196	175	713
197	175	711
198	176	708
199	176	706
200	177	704
201	177	702
202	178	700
203	178	698
204	179	695
205	180	694
206	180	691
207	181	689
208	181	687
209	182	685
210	182	683
211	183	681
212	183	679
213	184	677
214	185	675
215	185	673
216	186	671
217	186	669
218	187	667
219	187	665
220	188	663
221	188	661
222	189	659
223	189	658
224	190	656
225	191	654
226	191	652
227	192	650
228	193	651
229	194	649
230	194	648
231	195	646
232	196	645
233	196	643
234	197	642
235	197	640
236	198	638
237	199	637
238	199	635
239	200	634
240	200	632
241	201	631
242	202	629
243	202	628
244	203	626
245	204	625
246	204	624
247	205	622
248	206	623
249	207	623
250	208	622
251	209	621
252	210	620
253	211	619
254	211	619
255	212	618
256	213	616
257	214	615
258	214	613
259	215	612
260	215	611
261	216	609
262	217	608
263	217	606
264	218	605
265	218	604
266	219	602
267	220	601
268	220	600
269	221	598
270	222	597
271	222	596
272	223	595
273	224	595
274	225	594
275	226	594
276	227	593
277	227	592
278	228	590
279	229	589
280	229	588
281	230	586
282	231	585
283	231	584
284	232	583
285	233	581
286	233	580
287	234	578
288	234	577
289	235	576
290	236	575
291	237	574
